numero,materia,gabarito
91,fisica,B
92,quimica,C
93,quimica,E
94,quimica,A
95,biologia,A
96,fisica,C
97,quimica,D
98,biologia,E
99,fisica,D
100,fisica,C
101,fisica,A
102,quimica,A
103,fisica,E
104,biologia,D
105,biologia,D
106,fisica,D
107,quimica,E
108,biologia,B
109,biologia,B
110,biologia,D
111,biologia,D
112,biologia,B
113,quimica,E
114,quimica,C
115,biologia,C
116,quimica,A
117,biologia,E
118,quimica,D
119,fisica,B
120,biologia,B
121,fisica,A
122,fisica,A
123,quimica,A
124,biologia,C
125,quimica,C
126,biologia,A
127,fisica,E
128,quimica,E
130,fisica,C
131,fisica,B
132,fisica,B
133,quimica,C
134,biologia,E
135,quimica,D
