numero,materia,gabarito
136,geometria_espacial,E
137,logaritmo,E
138,porcentagem,E
139,funcao_1_grau,A
140,aritmetica,D
141,razao_e_proporcao,B
142,geometria_plana,E
143,interpretacao_de_grafico,B
144,matematica_basica,A
145,razao_e_proporcao,C
146,interpretacao_de_grafico,A
147,geometria_plana,B
148,geometria_espacial,C
149,progressao_aritmetica,D
150,matematica_financeira,B
151,porcentagem,A
152,razao_e_proporcao,B
153,porcentagem,E
154,logaritmo,C
155,raciocinio_logico,E
156,analise_combinatoria,C
157,geometria_espacial,A
158,geometria_espacial,C
159,probabilidade,D
160,estatistica,C
161,estatistica,B
162,unidade_de_medida,D
163,funcao_exponencial,C
164,geometria_espacial,C
165,inequacao_e_modulo,E
166,geometria_plana,D
167,estatistica,C
168,funcao_1_grau,D
169,geometria_analitica,A
170,razao_e_proporcao,B
171,analise_combinatoria,E
172,progressao_aritmetica,D
173,probabilidade,E
174,razao_e_proporcao,C
175,geometria_espacial,D
176,porcentagem,D
177,trigonometria,D
178,sistema_de_equacoes,B
179,interpretacao_de_grafico,A
180,razao_e_proporcao,A
