numero,materia,gabarito
91,eletrostatica,D
92,polimeros,D
93,eletrodinamica,B
94,funcoes_organicas,A
95,ecologia,C
96,cinetica_quimica,B
97,ciclos_biogeoquimicos,D
98,eletromagnetismo,D
99,cinematica,D
100,reacoes_quimicas,E
101,evolucao,C
102,solucoes,D
103,meio_ambiente,A
104,zoologia,E
105,termologia,D
106,hidrostatica,C
107,estatica,C
108,polimeros,C
109,termologia,E
110,cinetica_quimica,D
111,acustica,B
112,equilibrio_quimico,D
113,cinematica,D
114,acustica,C
115,biotecnologia,B
116,eletrodinamica,D
117,biotecnologia,D
118,zoologia,C
119,ecologia,A
120,estequiometria,A
121,botanica,E
122,densidade,C
123,separacao_de_misturas,E
124,meio_ambiente,D
125,genetica,D
126,fisica_moderna,A
127,ecologia,C
128,termologia,C
129,saude_publica,B
130,optica,A
131,quimica_verde,E
132,meio_ambiente,D
133,eletromagnetismo,C
134,densidade,D
