numero,materia,gabarito
91,sem_video_pendente,C
92,sem_video_pendente,D
93,sem_video_pendente,D
94,sem_video_pendente,D
95,sem_video_pendente,A
96,sem_video_pendente,B
97,sem_video_pendente,B
98,sem_video_pendente,A
99,sem_video_pendente,B
100,sem_video_pendente,D
101,sem_video_pendente,B
102,sem_video_pendente,E
103,sem_video_pendente,A
104,sem_video_pendente,B
105,sem_video_pendente,D
106,sem_video_pendente,E
107,sem_video_pendente,C
108,sem_video_pendente,C
109,sem_video_pendente,E
110,sem_video_pendente,E
111,sem_video_pendente,E
112,sem_video_pendente,D
113,sem_video_pendente,C
114,sem_video_pendente,E
115,sem_video_pendente,D
116,sem_video_pendente,A
117,sem_video_pendente,E
118,sem_video_pendente,B
119,sem_video_pendente,A
120,sem_video_pendente,B
121,sem_video_pendente,D
122,sem_video_pendente,C
123,sem_video_pendente,C
124,sem_video_pendente,A
125,sem_video_pendente,A
126,sem_video_pendente,C
127,sem_video_pendente,C
128,sem_video_pendente,C
129,sem_video_pendente,A
130,sem_video_pendente,D
131,sem_video_pendente,A
132,sem_video_pendente,C
133,sem_video_pendente,D
134,sem_video_pendente,B
135,sem_video_pendente,E
