numero,materia,gabarito
136,SEM_VIDEO_PENDENTE,E
137,SEM_VIDEO_PENDENTE,B
138,SEM_VIDEO_PENDENTE,D
139,SEM_VIDEO_PENDENTE,A
140,SEM_VIDEO_PENDENTE,D
141,SEM_VIDEO_PENDENTE,D
142,SEM_VIDEO_PENDENTE,A
143,SEM_VIDEO_PENDENTE,E
144,SEM_VIDEO_PENDENTE,B
145,SEM_VIDEO_PENDENTE,E
146,SEM_VIDEO_PENDENTE,A
147,SEM_VIDEO_PENDENTE,C
148,SEM_VIDEO_PENDENTE,B
149,SEM_VIDEO_PENDENTE,E
150,SEM_VIDEO_PENDENTE,D
151,SEM_VIDEO_PENDENTE,C
152,SEM_VIDEO_PENDENTE,E
153,SEM_VIDEO_PENDENTE,C
154,SEM_VIDEO_PENDENTE,C
155,SEM_VIDEO_PENDENTE,B
156,SEM_VIDEO_PENDENTE,E
157,SEM_VIDEO_PENDENTE,A
158,SEM_VIDEO_PENDENTE,B
159,SEM_VIDEO_PENDENTE,C
160,SEM_VIDEO_PENDENTE,A
161,SEM_VIDEO_PENDENTE,D
162,SEM_VIDEO_PENDENTE,E
163,SEM_VIDEO_PENDENTE,B
164,SEM_VIDEO_PENDENTE,C
165,SEM_VIDEO_PENDENTE,C
166,SEM_VIDEO_PENDENTE,B
167,SEM_VIDEO_PENDENTE,C
168,SEM_VIDEO_PENDENTE,C
170,SEM_VIDEO_PENDENTE,E
171,SEM_VIDEO_PENDENTE,B
172,SEM_VIDEO_PENDENTE,D
173,SEM_VIDEO_PENDENTE,D
174,SEM_VIDEO_PENDENTE,A
175,SEM_VIDEO_PENDENTE,A
176,SEM_VIDEO_PENDENTE,B
177,SEM_VIDEO_PENDENTE,B
178,SEM_VIDEO_PENDENTE,A
179,SEM_VIDEO_PENDENTE,D
180,SEM_VIDEO_PENDENTE,D
