numero,materia,gabarito
91,SEM_VIDEO_PENDENTE,C
92,SEM_VIDEO_PENDENTE,A
93,SEM_VIDEO_PENDENTE,E
94,SEM_VIDEO_PENDENTE,D
95,SEM_VIDEO_PENDENTE,A
96,SEM_VIDEO_PENDENTE,A
97,SEM_VIDEO_PENDENTE,C
98,SEM_VIDEO_PENDENTE,C
99,SEM_VIDEO_PENDENTE,A
100,SEM_VIDEO_PENDENTE,E
101,SEM_VIDEO_PENDENTE,E
103,SEM_VIDEO_PENDENTE,C
104,SEM_VIDEO_PENDENTE,B
105,SEM_VIDEO_PENDENTE,B
106,SEM_VIDEO_PENDENTE,A
107,SEM_VIDEO_PENDENTE,E
108,SEM_VIDEO_PENDENTE,D
109,SEM_VIDEO_PENDENTE,B
110,SEM_VIDEO_PENDENTE,B
111,SEM_VIDEO_PENDENTE,C
112,SEM_VIDEO_PENDENTE,A
113,SEM_VIDEO_PENDENTE,A
114,SEM_VIDEO_PENDENTE,C
115,SEM_VIDEO_PENDENTE,D
116,SEM_VIDEO_PENDENTE,E
117,SEM_VIDEO_PENDENTE,D
118,SEM_VIDEO_PENDENTE,C
119,SEM_VIDEO_PENDENTE,B
120,SEM_VIDEO_PENDENTE,C
121,SEM_VIDEO_PENDENTE,E
122,SEM_VIDEO_PENDENTE,E
123,SEM_VIDEO_PENDENTE,C
124,SEM_VIDEO_PENDENTE,A
125,SEM_VIDEO_PENDENTE,A
126,SEM_VIDEO_PENDENTE,E
127,SEM_VIDEO_PENDENTE,D
128,SEM_VIDEO_PENDENTE,D
129,SEM_VIDEO_PENDENTE,D
130,SEM_VIDEO_PENDENTE,E
131,SEM_VIDEO_PENDENTE,B
132,SEM_VIDEO_PENDENTE,B
133,SEM_VIDEO_PENDENTE,D
134,SEM_VIDEO_PENDENTE,D
135,SEM_VIDEO_PENDENTE,B
