numero,materia,gabarito
136,SEM_VIDEO_PENDENTE,C
137,SEM_VIDEO_PENDENTE,E
138,SEM_VIDEO_PENDENTE,C
139,SEM_VIDEO_PENDENTE,E
140,SEM_VIDEO_PENDENTE,B
141,SEM_VIDEO_PENDENTE,E
142,SEM_VIDEO_PENDENTE,D
143,SEM_VIDEO_PENDENTE,A
144,SEM_VIDEO_PENDENTE,D
145,SEM_VIDEO_PENDENTE,C
146,SEM_VIDEO_PENDENTE,A
147,SEM_VIDEO_PENDENTE,A
148,SEM_VIDEO_PENDENTE,D
149,SEM_VIDEO_PENDENTE,E
150,SEM_VIDEO_PENDENTE,C
151,SEM_VIDEO_PENDENTE,D
152,SEM_VIDEO_PENDENTE,B
153,SEM_VIDEO_PENDENTE,B
154,SEM_VIDEO_PENDENTE,C
155,SEM_VIDEO_PENDENTE,E
156,SEM_VIDEO_PENDENTE,B
157,SEM_VIDEO_PENDENTE,D
158,SEM_VIDEO_PENDENTE,C
159,SEM_VIDEO_PENDENTE,C
160,SEM_VIDEO_PENDENTE,C
161,SEM_VIDEO_PENDENTE,A
162,SEM_VIDEO_PENDENTE,C
163,SEM_VIDEO_PENDENTE,A
164,SEM_VIDEO_PENDENTE,B
165,SEM_VIDEO_PENDENTE,B
166,SEM_VIDEO_PENDENTE,A
167,SEM_VIDEO_PENDENTE,B
168,SEM_VIDEO_PENDENTE,B
169,SEM_VIDEO_PENDENTE,A
170,SEM_VIDEO_PENDENTE,D
171,SEM_VIDEO_PENDENTE,D
172,SEM_VIDEO_PENDENTE,D
173,SEM_VIDEO_PENDENTE,C
174,SEM_VIDEO_PENDENTE,E
175,SEM_VIDEO_PENDENTE,A
176,SEM_VIDEO_PENDENTE,D
177,SEM_VIDEO_PENDENTE,B
178,SEM_VIDEO_PENDENTE,B
179,SEM_VIDEO_PENDENTE,C
180,SEM_VIDEO_PENDENTE,E
