numero,materia,gabarito
136,Geometria Espacial,C
137,Razão e Proporção,B
138,Lógica,E
139,Probabilidade,C
140,Geometria Espacial,E
141,Probabilidade,C
142,Razão e Proporção,C
143,Aritmética,A
144,Geometria,D
145,Gráfico,D
146,Lógica,B
147,Geometria,E
148,SEM_VIDEO_PENDENTE,C
149,Geometria Espacial,B
150,Estatística,D
151,Funções,D
152,Gráfico,D
153,SEM_VIDEO_PENDENTE,A
154,Escala,C
155,Estatística,B
156,Aritmética,E
157,Análise Combinatória,C
158,Escala,C
159,Funções,D
160,Porcentagem,E
161,Unidades de Medida,A
162,Gráfico,B
163,Trigonometria,B
164,Funções,A
165,Lógica,D
166,Sistema de Equações,E
167,Geometria Plana,D
168,Sistema de Equações,E
169,Análise Combinatória,A
170,Razão e Proporção,B
171,Geometria Espacial,E
172,Probabilidade,A
173,Razão e Proporção,A
175,Gráfico,C
176,Aritmética,C
177,Volume,B
178,Geometria Espacial,E
179,Logaritmo,A
180,Gráfico,D
