titulo,link,nivel,materia,fonte_nivel,canal,canal_id
🟢 Questão 136 - Caderno Azul | Estatística | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=ocOsGKmj1fU,Média,Estatística,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 137 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=exyhlb9US1Q,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 138 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=kjhcpbwvmQI,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 139 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=pj4eEkc7U7s,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 140 - Caderno Azul | Análise Combinatória | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=GstWm7_TjaE,Difícil,Análise Combinatória,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 141 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=ecj1wreWZTA,Média,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 142 - Caderno Azul | Sistemas de Equações | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=dpHevbMKqt0,Média,Sistema de Equações,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 143 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=wfff2m-HKd0,Fácil,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 144 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=8Ovt6naAkSM,Média,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 145 - Caderno Azul | Unidades de Medida | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=2ADCCn9ThgI,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 146 - Caderno Azul | Interpretação de Gráfico | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=eHBFJZnyR7c,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 147 - Caderno Azul | Função do 1º Grau | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=KP1eNOfLjhs,Média,Funções,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 148 - Caderno Azul |  Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=rE73LPMzfMM,Média,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
